CHSI_State_Abbr,No_Exercise,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind,Influenzae,HepA,HepB,Measeles,Pertusis,Congential.Rubella,Syphilis,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol,Salmonella,Shig,Toxic_Chem,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,Premature,Infant_Mortality,Brst_Cancer,Col_Cancer,CHD,ALE,All_Death,Health_Status
AL,31.5,36.6,36.154,20.4,11.5,9242,6424,2302,101.4,38.3,1,2,3,6,6,3,6,3,10,1260,2183,2378,2155,3,74,30,2011358,1,1,1,1,1,1,17.6,9.6,26.1,31.5,185.3,72.1,1136,25.1
AL,37,24.3,35.3,19.1,7.8,12260,8411,2351,34.2,19.3,1,2,4,14,8,3,3,3,4,1414,2949,3790,3150,6,67,35,217675,1,1,1,1,1,1,15.8,7.7,23.1,13.7,171.9,75.1,960.6,22
AL,27.7,24.8,23,22.6,5.5,8320,7792,2167,33.8,16.2,1,2,4,12,7,3,17,3,12,1091,2028,4170,3646,10,121,29,74339,1,1,1,1,1,1,14.2,7.6,34.1,16.9,138.8,75.2,946.9,15.1
AL,34.3,33.7,33.935,26.1,11.4,6490,5064,1476,57.8,26.3,1,2,6,10,10,3,8,3,7,721,1763,2165,1834,5,89,46,2302304,1,1,1,1,1,1,16.9,12.3,32.3,14.4,221.2,73.2,1042.6,31.2
AL,34.1,27.1,38.2,31.5,10.2,16180,15265,4508,72.7,42.6,1,2,7,13,24,3,12,3,32,1982,4505,5897,4895,3,84,39,1619985,1,1,1,1,1,1,13.6,8.7,27.7,16.2,188.6,73.5,1091.5,24.1
AL,34.99,32.7,30.652,21.2,12.7,2358,2544,731,60.3,16.5,2,2,3,17,8,3,3,3,9,315,931,1049,862,3,56,7,71686,1,1,1,1,1,1,13.4,7.3,19.2,15.6,157.6,73.9,979.6,32.7
AL,28.9,28.959,31.424,26.824,7.2,5977,4871,1320,35.8,22.8,1,2,3,5,3,3,10,3,5,664,1479,1742,1456,3,46,10,93630,1,1,1,1,1,1,14.2,11.5,33.3,15.5,173.3,73.6,1091.7,25
AL,34.283,34.5,32.848,26.746,9.4,4759,4173,1118,35,15.5,2,1,3,9,7,3,7,3,7,409,1293,1492,1218,6,107,17,161155,1,1,1,1,1,1,11.9,7.1,22.8,14.6,212,74.7,984.9,25.6
AL,33.768,28.884,30.585,22.818,7.1,2384,1287,461,31.1,10.4,1,1,3,7,4,3,7,3,15,210,429,524,468,3,28,12,3448520,1,1,1,1,1,1,18.9,10.2,39.4,16.9,151.1,72.7,1050.9,24.852
AL,32.162,28.459,29.944,24.352,5.2,3422,2358,825,27.3,5.5,1,1,5,8,5,3,5,3,28,325,877,1011,912,7,52,21,51811,1,1,1,1,1,1,17,13.8,29.5,21.4,184.8,72.7,1073,21.956
AL,32.78,28.006,29.198,23.639,8,2556,2583,631,18.1,30.1,2,2,3,14,7,3,6,3,11,294,585,951,789,3,49,15,6200,1,1,1,1,1,1,13.9,7.6,31.4,17.2,181.8,74.5,961.4,22.363
AL,32.9,29.5,34,25,8.8,14235,9901,2416,106.1,47.7,1,2,4,15,21,3,18,3,11,1547,3259,5260,4426,10,238,80,166337,1,1,1,1,1,1,13.1,8,29,16.8,152.8,75.7,905,21.9
AL,34,29.4,29.2,37,6.1,7294,7744,1978,70.8,29.8,1,2,7,12,3,3,5,3,6,1219,2452,3076,2497,4,64,17,6565659,1,1,1,1,1,1,14.4,6.4,26.4,19.7,187.2,74.5,1027.6,22.6
AL,29,27.1,31.9,23.4,9.7,87428,89884,21625,154.9,71.5,1,2,35,124,170,3,78,3,162,12866,25084,36995,31672,32,508,446,13881314,2,1,1,2,1,1,16,11.3,27.2,22,145.6,73.6,1034.5,17.7
AL,33.187,27.04,30.876,24.525,3.2,2237,2648,702,13.4,20.1,2,2,3,13,6,3,3,3,9,316,627,871,700,3,37,12,105,1,1,1,1,1,1,14,15.6,23.9,21.6,167.3,73.9,1044.9,22.431
AL,25.8,23.8,34.7,21.1,6.7,11424,13168,3134,58.2,49,1,2,4,11,13,3,17,3,7,1922,3957,5087,4340,10,102,14,150351,1,1,1,1,1,1,17.6,5.4,25.8,18.5,133.4,76.4,910.9,23.4
AL,31.9,19.9,31.489,28.5,9.2,5396,3526,1074,28.9,8.7,1,1,3,4,3,3,7,3,8,811,1423,1965,1650,3,44,8,2676270,1,1,1,1,1,1,12.9,5.3,19.1,14.3,207.7,74.3,1054.1,28.8
AL,25.9,21.7,24.5,27.1,7.8,17335,9041,2465,63.3,26,1,2,3,22,9,14,6,3,16,1982,3886,6997,7710,6,272,72,214408,1,1,1,1,1,1,12.3,8.3,29,18,164.7,75.3,983.4,16.6
AL,30.4,26,28.276,25,8.1,8934,7024,1778,39.7,15.6,1,2,3,9,13,3,15,3,7,1370,2864,4019,3408,11,69,14,31182,1,1,1,1,1,1,14.7,7.3,20.5,18.7,167.7,75.5,964.4,18
AL,33.737,29.597,31.293,22.777,9.6,2951,1326,507,15.3,7.6,1,2,5,15,7,3,6,3,18,361,462,703,634,3,35,22,269742,1,1,1,1,1,1,20.2,12.6,19.9,14.2,112.1,71.7,1075.8,25.796
AL,34.807,30.186,33.267,15.7,13.6,4325,2862,781,26.3,21.9,1,1,3,7,6,3,4,3,16,444,850,1267,1319,3,58,36,906372.13,1,1,1,1,1,1,17.5,13,25.9,30.8,243.7,71.9,1091.8,22.8
AL,22.9,23.1,24.9,21.3,6.5,35743,32428,5431,95.2,46.6,1,2,17,31,37,3,28,3,31,4944,9467,16746,14705,14,225,68,922380,1,1,1,1,1,1,15.1,9.1,30.9,17,114.2,76.1,905.8,13.7
AL,32.38,29.277,32.729,15.6,11.3,4074,2816,862,54.8,13.7,1,2,8,7,9,3,3,3,34,453,857,1193,1055,4,79,33,550529,1,1,1,1,1,1,17.5,12.2,26.5,17.5,175.7,74,1034.4,22.416
AL,33.247,30.9,33.962,27.955,10.1,5205,4619,1284,53.1,26.5,2,2,6,5,4,3,9,3,3,553,1450,1758,1393,4,52,9,662356,1,1,1,1,1,1,12.5,8.8,24.6,17.8,198.9,73.9,999.8,27.7
AL,34.8,27.5,36.8,31.6,7.2,14593,12686,3083,63.1,33.9,2,2,4,16,12,3,8,3,15,1461,3402,4779,3984,7,107,32,220359,1,1,1,1,1,1,14.3,7.9,16.6,16.4,151.9,73.9,1066.2,22.5
AL,30.8,26.6,27.2,25.1,6.6,65687,47123,12197,95.4,38.4,1,2,21,51,91,3,54,3,38,8140,9386,21921,19559,15,558,690,21502254,1,1,1,2,1,1,18.1,10,30.1,20.6,186.8,73.5,1030.7,19.2
AL,27.194,24.546,27.348,24.058,8.1,4269,3035,889,50.6,29.5,1,2,4,8,8,3,6,3,34,538,802,1299,1132,3,82,31,4478917,1,1,1,1,1,1,17.9,7.8,21.7,19.5,172.4,74.7,957.4,11.7
AL,28.2,23.9,27.8,20.7,8.5,32259,25495,6378,107.4,49.2,1,2,8,37,47,3,24,3,219,4395,7028,12171,11178,17,313,196,525979,1,1,1,1,1,1,15.9,9.5,28.9,18.6,171.6,74.6,974,16.3
AL,23.4,22.5,32.7,28.9,6.7,16097,14763,3367,76.5,41.3,1,2,4,23,11,3,14,3,17,2266,4163,6428,5407,4,83,24,4780002,1,1,1,1,1,1,14.3,5.2,24.9,20.7,127.1,75.2,968.7,18.3
AL,35.529,30.283,32.035,26.092,10.585,2776,1538,487,35.2,26.4,1,1,3,8,6,3,7,3,5,288,476,592,581,3,22,13,1052,1,1,1,1,1,1,18.3,10.2,29.9,27.7,149,73.2,1173.9,27.374
AL,32.253,27.541,30.63,15.2,12.8,3606,3147,929,49.6,9.9,2,1,3,9,8,3,4,3,33,397,872,1121,973,3,72,21,60,1,1,1,1,1,1,16.9,8.2,17.7,17.1,122.9,73.5,1040.1,20.7
AL,24.2,29.1,31.182,16.5,11.3,5696,3917,1180,57.4,27,1,2,3,8,5,3,3,3,8,545,1040,1668,1638,3,75,25,3133084,1,1,1,1,1,1,16.7,9.1,23.5,24.9,173.3,73.7,1112.5,22
AL,35.2,27.815,29.711,22.1,8.1,3575,3357,869,26.4,17.6,2,2,3,17,10,3,4,3,11,535,956,1281,1084,4,56,10,21996,1,1,1,1,1,1,16,9,30.9,23.7,204.9,74.9,1000.4,17.3
